a	A
maille	m a j
maillet	m a j E
maillot	m a j o
main	m E~
mains	m E~
maintenance	m E~ t n A~ s
maintenant	m E~ t n A~
maintenir	m E~ t n i R
maintien	m E~ t j E~
maire	m E R
maires	m E R
mairesse	m E R E s
mairie	m e R i
mais	m E
maison	m E z O~
maisons	m E z O~
maitre	m E: t R
majestueux	m a Z E s t H 2
majesté	m a Z E s t e
majeur	m a Z 9 R
major	m a Z O R
majordome	m a Z O R d O m
majorité	m a Z O R i t e
majuscule	m a Z y s k y l
mal	m a l
malachite	m a l a S i t
malade	m a l a d
maladie	m a l a d i
maladresse	m a l a d R E s
maladroit	m a l a d R w a
maladroite	m a l a d R w a t
malais	m a l E
malaise	m a l E z
malaisien	m a l E z j E~
malaria	m a l a R j a
malayalam	m a l E j a l a m
malencontreusement	m a l A~ k O~ t R 2 z m A~
malentendu	m a l A~ t A~ d y
malfaisant	m a l f @ z A~
malgré	m a l g R e
malheur	m a l 9 R
malheureusement	m a l 9 R 2 z m A~
malheureux	m a l 9 R 2
malice	m a l i s
malien	m a l j E~
malin	m a l E~
malle	m a l
mallette	m a l E t
maltraitance	m a l t R E t A~ s
malvacées	m a l v a s e
malédiction	m a l e d i k s j O~
maléfique	m a l e f i k
maman	m a m A~
mambo	m A~ b o
mamelles	m a m E l
mamelon	m a m l O~
mamie	m a m i
mammifère	m a m i f E R
mammouth	m a m u t
management	m a n a dZ m E n t
manager	m a n a dZ E R
manche	m A~ S
manchon	m A~ S O~
manchot	m A~ S o
mandarine	m A~ d a R i n
mandat	m A~ d a
mandibule	m A~ d i b y l
mandoline	m A~ d O l i n
manga	m A~ g a
mangaka	m A~ g a k a
manganèse	m A~ g a n E z
mangeant	m A~ Z A~
mangent	m A~ Z
manger	m A~ Z e
mangouste	m A~ g u s t
mangrove	m A~ g R O v
mangue	m A~ g
mangé	m A~ Z e
mania	m a n j a
maniaque	m a n j a k
manie	m a n i
maniement	m a n i m A~
manier	m a n j e
manifestation	m a n i f E s t a s j O~
manifestement	m a n i f E s t @ m A~
manifester	m a n i f E s t e
manille	m a n i j
manioc	m a n j O k
manivelle	m a n i v E l
manière	m a n j E R
manne	m a n
mannequin	m a n k E~
mannois	m a n w A
manoir	m a n w a R
manouche	m a n u S
manquait	m A~ k E
manque	m A~ k
manquer	m A~ k e
manqué	m A~ k e
mante	m A~ t
manteau	m A~ t o
manteaux	m A~ t o
manuel	m a n H E l
manuelle	m a n H E l
manuellement	m a n H E l m A~
manuelles	m a n H E l
manuels	m a n H E l
manuscrit	m a n y s k R i
manutention	m a n y t A~ s j O~
manège	m a n E Z
maquereau	m a k R o
maquillage	m a k i j a Z
maquis	m a k i
marabout	m a R a b u
marais	m a R E
marbre	m a R b R
marbres	m a R b R
marbré	m a R b R e
marcha	m a R S a
marchand	m a R S A~
marchandise	m a R S A~ d i z
marche	m a R S
marcher	m a R S e
marches	m a R S
marché	m a R S e
mardi	m a R d i
mare	m A R
marennes	m a R E n
marge	m a R Z
marginal	m a R Z i n a l
marginale	m a R Z i n a l
marginalement	m a R Z i n a l m A~
marginales	m a R Z i n a l
marginaux	m a R Z i n o
margrave	m a R g R a v
marguerite	m a R g @ R i t
mari	m a R i
mariage	m a R j a Z
mariages	m a R j a Z
marier	m a R j e
marigot	m a R i g o
marijuana	m a R i R w a n a
marin	m a R E~
marinade	m a R i n a d
marine	m a R i n
mariniers	m a R i n j e
marins	m a R E~
marionnette	m a R j O n E t
marié	m a R j e
mariée	m a R j e
mariées	m a R j e
mariés	m a R j e
marjolaine	m a R Z O l E n
mark	m a R k
marketing	m a R k e t i N
marmite	m a R m i t
marne	m a R n
marocain	m a R O k E~
maroilles	m a R w a l
maroquinerie	m a R O k i n R i
marquage	m a R k a Z
marque	m a R k
marquer	m a R k e
marquis	m a R k i
marraine	m a R E n
marron	m a R O~
marronnier	m a R O n j e
mars	m a R s
marsanne	m a R s a n
marsouins	m a R s w E~
marsupial	m a R s y p j a l
marte	m a R t
marteau	m a R t o
martin	m a R t E~
martiniquais	m a R t i n i k E
martins	m a R t E~
martre	m a R t R
martyr	m a R t i R
martyre	m a R t i R
marxisme	m a R k s i s m
marxiste	m a R k s i s t
marxistes	m a R k s i s t
marécage	m a R e k a Z
maréchal	m a R e S a l
maréchaussée	m a R e S o s e
marée	m a R e
mas	m A
mascotte	m a s k O t
masculin	m a s k y l E~
masculine	m a s k y l i n
masculinité	m a s k y l i n i t e
maso	m a z o
masochisme	m a z O S i s m
masque	m a s k
massacre	m a s a k R
massacrer	m a s a k R e
massacres	m a s a k R
massacré	m a s a k R e
massage	m a s a Z
masse	m a s
masses	m a s
massif	m a s i f
massivement	m a s i v m A~
massue	m a s y
master	m a s t E R
masturbation	m a s t y R b a s j O~
mat	m a
matador	m a t a d O R
match	m a tS
mate	m a t
matelas	m a t l a
matelot	m a t l o
matelots	m a t l o
mater	m a t e
maternel	m a t E R n E l
maternité	m a t E R n i t e
maternités	m a t E R n i t e
maths	m a t
mathématique	m a t e m a t i k
mathématiquement	m a t e m a t i k m A~
mathématiques	m a t e m a t i k
matin	m a t E~
matines	m a t i n
matinée	m a t i n e
matière	m a t j E R
matos	m a t o s
matrice	m a t R i s
matricule	m a t R i k y l
mature	m a t y R
matérialisme	m a t e R j a l i s m
matériau	m a t e R j o
matériel	m a t e R j E l
maudit	m o d i
maure	m o R
maures	m O R
mauritanien	m o R i t a n j E~
mauvais	m O v E
mauve	m o v
maux	m o
maxi	m a k s i
maxima	m a k s i m a
maximiser	m a k s i m i z e
maximum	m a k s i m O m
mayeur	m a j 9 R
mayonnaise	m a j O n E z
maçon	m a s O~
maçonnerie	m a s O n R i
maître	m E t R
maîtres	m E t R
maîtresse	m E t R E s
maîtriser	m E t R i z e
maïs	m a i s
me	m @
mec	m E k
meeting	m i t i N
meilleur	m E j 9 R
melon	m @ l O~
membrane	m A~ b R a n
membre	m A~ b R
menace	m @ n a s
menacer	m @ n a s e
mendiant	m A~ d j A~
mener	m @ n e
meneur	m @ n 9 R
menhir	m e n i R
mens	m A~
mensonge	m A~ s O~ Z
mensuel	m A~ s H E l
mensuellement	m A~ s H E l m A~
ment	m A~
mental	m A~ t a l
menteur	m A~ t 9 R
menthe	m A~ t
mentionner	m A~ s j O n e
mentir	m A~ t i R
menton	m A~ t O~
menu	m @ n y
menuet	m @ n H E
menuiserie	m @ n H i z R i
menuisier	m @ n H i z j e
mer	m E R
mercato	m E R k a t o
merci	m E R s i
mercier	m E R s j e
mercredi	m E R k R @ d i
mercure	m E R k y R
merde	m E R d
merle	m E R l
merlin	m E R l E~
merveille	m E R v E j
merveilleusement	m E R v E j 2 z m A~
merveilleux	m E R v E j 2
mes	m e
message	m e s a Z
messager	m e s a Z e
messe	m E s
messidor	m e s i d O R
messie	m e s i
messieurs	m e s j 2
messire	m e s i R
mestre	m E s t R
mesure	m @ z y R
mesurer	m @ z y R e
met	m E
mets	m E
mettent	m E t
metteur	m E t 9 R
metteurs	m E t 9 R
metteuse	m E t 2 z
mettre	m E t R
meuble	m 9 b l
meule	m 2 l
meunerie	m 2 n R i
meunier	m 2 n j e
meursault	m 9 R s o
meurtre	m 9 R t R
meurtrier	m 9 R t R i j e
meurtrière	m 9 R t R i j E R
meute	m 2 t
mexicain	m E k s i k E~
mezzanine	m E d z a n i n
mi	m i
micmac	m i k m a k
microbiote	m i k R O b j O t
microfinance	m i k R O f i n A~ s
micromètre	m i k R O m E t R
microphone	m i k R O f O n
microprocesseur	m i k R O p R O s E s 9 R
microscopique	m i k R O s k O p i k
midi	m i d i
mie	m i
miel	m j E l
mien	m j E~
mieux	m j 2
mignard	m i J a R
mignon	m i J O~
mignot	m i J o
migrateur	m i g R a t 9 R
mil	m i l
milan	m i l A~
mildiou	m i l d j u
mile	m i l
milice	m i l i s
milieu	m i l j 2
militaire	m i l i t E R
militant	m i l i t A~
mille	m i l
millepertuis	m i l p E R t H i
millet	m i j E
milliard	m i l j a R
milliardaire	m i l j a R d E R
millier	m i l j e
millimètre	m i l i m E t R
million	m i l j O~
millénaire	m i l e n E R
millésime	m i l e z i m
mime	m i m
mina	m i n a
minaret	m i n a R E
minas	m i n a
mince	m E~ s
mine	m i n
miner	m i n e
minerai	m i n R E
minerais	m i n @ R E
minerve	m i n E R v
mineur	m i n 9 R
mini	m i n i
minibus	m i n i b y s
minimiser	m i n i m i z e
minimum	m i n i m O m
ministre	m i n i s t R
ministère	m i n i s t E R
ministériel	m i n i s t e R j E l
minorité	m i n O R i t e
minuit	m i n H i
minuscule	m i n y s k y l
minuscules	m i n y s k y l
minute	m i n y t
minutie	m i n y s i
miné	m i n e
minéral	m i n e R a l
minérale	m i n e R a l
minérales	m i n e R a l
minéralogie	m i n e R a l O Z i
minéraux	m i n e R o
miracle	m i R a k l
miraculeuse	m i R a k y l 2 z
miraculeusement	m i R a k y l 2 z m A~
miraculeuses	m i R a k y l 2 z
miraculeux	m i R a k y l 2
mirage	m i R a Z
mire	m i R
miroir	m i R w a R
mis	m i
misaine	m i z E n
missel	m i s E l
missile	m i s i l
mission	m i s j O~
missionnaire	m i s j O n E R
missionnaires	m i s j O n E R
mistral	m i s t R a l
misère	m i z E R
misérable	m i z e R a b l
miséricorde	m i z e R i k O R d
mit	m i
mita	m i t a
mitigé	m i t i Z e
mitose	m i t O z
mitrailleur	m i t R A j 9 R
mitrailleuse	m i t R A j 2 z
mix	m i k s
mixe	m i k s
mixer	m i k s e
mixeur	m i k s 9 R
mixé	m i k s e
mob	m O b
mobile	m O b i l
mobilier	m O b i l j e
mobilisation	m O b i l i z a s j O~
moche	m O S
modal	m O d a l
mode	m O d
modeler	m O d l e
modem	m O d E m
moderne	m O d E R n
modernes	m O d E R n
moderniste	m O d E R n i s t
modeste	m O d E s t
modestie	m O d E s t i
modification	m O d i f i k a s j O~
modifier	m O d i f j e
modulaire	m O d y l E R
modulaires	m O d y l E R
module	m O d y l
moduler	m O d y l e
modèle	m O d E l
modèles	m O d E l
modéliser	m O d e l i z e
modéré	m O d e R e
moelle	m w a l
moelleux	m w E l 2
moellon	m w a l O~
moi	m w a
moindre	m w E~ d R
moine	m w a n
moineau	m w a n o
moins	m w E~
moiré	m w a R e
mois	m w a
moisissure	m w a z i s y R
moisson	m w a s O~
moitié	m w a t j e
molaire	m O l E R
molaires	m O l E R
mole	m O l
molette	m O l E t
mollet	m O l E
molybdène	m O l i b d E n
molécule	m O l e k y l
molécules	m O l e k y l
moment	m O m A~
momie	m O m i
momies	m O m i
mon	m O~
monarchie	m O n a R S i
monarchiste	m O n a R S i s t
monarque	m O n a R k
monastique	m O n a s t i k
monastère	m O n a s t E R
monceau	m O~ s o
monde	m O~ d
mondial	m O~ d j a l
mondialisation	m O~ d j a l i z a s j O~
moniteur	m O n i t 9 R
monnaie	m O n E
mono	m O n o
monochrome	m O n O k R O m
monochromes	m O n O k R O m
monocoque	m O n O k O k
monogramme	m O n O g R a m
monomère	m O n O m E R
monomères	m O n O m E R
monophasé	m O n O f a z e
monopole	m O n O p O l
monothéisme	m O n O t e i z m
monotone	m O n O t O n
monoxyde	m O n O k s i d
monseigneur	m O~ s E J 9 R
monsieur	m @ s j 2
monstre	m O~ s t R
monstrueux	m O~ s t R y 2
mont	m O~
montage	m O~ t a Z
montagne	m O~ t a J
montagneux	m O~ t a J 2
montant	m O~ t A~
monte	m O~ t
monter	m O~ t e
monteur	m O~ t 9 R
monteuse	m O~ t 2 z
montgolfière	m O~ g O l f j E R
montgolfières	m O~ g O l f j E R
monticule	m O~ t i k y l
montre	m O~ t R
montrer	m O~ t R e
montréalais	m O~ R e a l E
montréalaise	m O~ R e a l E z
monture	m O~ t y R
monument	m O n y m A~
monégasque	m O n e g a s k
monégasques	m O n e g a s k
moquer	m O k e
moqueur	m O k 9 R
moraine	m O R E n
morale	m O R a l
moralement	m O R a l m A~
morceau	m O R s o
mordre	m O R d R
more	m O R
morelle	m O R E l
mores	m O R
morgue	m O R g
morne	m O R n
morphine	m O R f i n
morphologie	m O R f O l O Z i
morphologies	m O R f O l O Z i
morphème	m O R f E m
morphèmes	m O R f E m
mors	m O R
morse	m O R s
morsure	m O R s y R
mort	m O R
mortel	m O R t E l
mortier	m O R t j e
morue	m O R y
moscovite	m O s k O v i t
mosquée	m O s k e
mot	m o
moteur	m O t 9 R
motif	m O t i f
motion	m O s j O~
motiver	m O t i v e
moto	m O t o
motorisé	m O t O R i z e
motrice	m O t R i s
mots	m o
motte	m O t
mou	m u
mouchard	m u S a R
mouche	m u S
mouches	m u S
mouchoir	m u S w a R
moudre	m u d R
mouette	m w E t
mouiller	m u j e
mouillé	m u j e
moule	m u l
moulin	m u l E~
moult	m u
moulure	m u l y R
moulé	m u l e
mourant	m u R A~
mourante	m u R A~ t
mourir	m u R i R
mouron	m u R O~
mousquetaire	m u s k @ t E R
moussa	m u s a
mousse	m u s
mousses	m u s
mousseux	m u s 2
mousson	m u s O~
moustache	m u s t a S
moustique	m u s t i k
moutarde	m u t a R d
moutier	m u t j e
mouton	m u t O~
moutons	m u t O~
mouture	m u t y R
mouvement	m u v m A~
mouvoir	m u v w a R
moyen	m w a j E~
moyennant	m w a j E n A~
moyenne	m w a j E n
moyeu	m w a j 2
moût	m u
mu	m y
mucus	m y k y s
mue	m y
muer	m y e
muet	m y E
muette	m H E t
mufti	m y f t i
muguet	m y g E
mulet	m y l E
muleta	m y l e t a
mulot	m y l o
multicolore	m y l t i k O l O R
multiculturelle	m y l t i k y l t y R E l
multiforme	m y l t i f O R m
multijoueur	m y l t i Z w 9 R
multilingue	m y l t i l E~ g
multimédia	m y l t i m e d j a
multiple	m y l t i p l
multiplicateur	m y l t i p l i k a t 9 R
multiplication	m y l t i p l i k a s j O~
multitude	m y l t i t y d
multivers	m y l t i v E R
muni	m y n i
municipal	m y n i s i p a l
municipalité	m y n i s i p a l i t e
municipe	m y n i s i p
munir	m y n i R
munis	m y n i
munition	m y n i s j O~
munitions	m y n i s j O~
muqueuse	m y k 2 z
mur	m y R
muraille	m y R A j
mural	m y R a l
muret	m y R E
murmure	m y R m y R
musa	m y z a
musaraigne	m y z a R E J
muscade	m y s k a d
muscat	m y s k a
muscle	m y s k l
musclé	m y s k l e
musclée	m y s k l e
musclés	m y s k l e
musculature	m y s k y l a t y R
muse	m y z
museau	m y z o
muses	m y z
musical	m y z i k a l
musicien	m y z i s j E~
musicologue	m y z i k O l O g
musicologues	m y z i k O l O g
musique	m y z i k
musiques	m y z i k
musulman	m y z y l m A~
musée	m y z e
musées	m y z e
mutuel	m y t H E l
mutuellement	m y t H E l m A~
myopie	m j O p i
myosotis	m j O z O t i s
myrte	m i R t
myrtille	m i R t i j
mysticisme	m i s t i s i z m
mystique	m i s t i k
mystiques	m i s t i k
mystère	m i s t E R
mystérieuse	m i s t e R j 2 z
mystérieuses	m i s t e R j 2 z
mystérieux	m i s t e R j 2
mythe	m i t
mythes	m i t
mythique	m i t i k
mythologie	m i t O l O Z i
mythologique	m i t O l O Z i k
mythologiques	m i t O l O Z i k
mâcher	m A S e
mâchicoulis	m A S i k u l i
mâchoire	m A S w a R
mâchoires	m A S w a R
mâle	m A l
mât	m A
mèche	m E S
mème	m E m
mère	m E R
mètre	m E t R
mètres	m E t R
mécanicien	m e k a n i s j E~
mécanisme	m e k a n i z m
méchanceté	m e S A~ s t e
méchant	m e S A~
méconnaissance	m e k O n E s A~ s
mécontent	m e k O~ t A~
mécène	m e s E n
médaille	m e d a j
médaillon	m e d a j O~
médecin	m E d s E~
médecine	m e d s i n
médecines	m E d s i n
médial	m e d j a l
médiale	m e d j a l
médiateur	m e d j a t 9 R
médiateurs	m e d j a t 9 R
médical	m e d i k a l
médicale	m e d i k a l
médicales	m e d i k a l
médicament	m e d i k a m A~
médicaments	m e d i k a m A~
médicaux	m e d i k o
méditer	m e d i t e
méduse	m e d y z
méduses	m e d y z
méfiance	m e f j A~ s
méfiant	m e f j A~
méfier	m e f j e
méga	m e g a
mélancolie	m e l A~ k O l i
mélancolique	m e l A~ k O l i k
mélange	m e l A~ Z
mélanger	m e l A~ Z e
mélanome	m e l a n O m
mélasse	m e l a s
mélodie	m e l O d i
mélodieux	m e l O d j 2
mélodique	m e l O d i k
mélèze	m e l E z
mémoire	m e m w a R
mémé	m e m e
ménage	m e n a Z
ménager	m e n a Z e
ménagerie	m e n a Z R i
ménagère	m e n a Z E R
ménestrel	m e n E s t R E l
méningite	m e n E~ Z i t
ménopause	m e n O p o z
mépris	m e p R i
méridional	m e R i d j O n a l
méridionale	m e R i d j O n a l
méridionales	m e R i d j O n a l
méridionaux	m e R i d j O n o
mérinos	m e R i n o s
mérite	m e R i t
mériter	m e R i t e
mérovingien	m e R O v E~ Z j E~
mésange	m e z A~ Z
métabolisme	m e t a b O l i z m
métabolite	m e t a b O l i t
métairie	m e t E R i
métal	m e t a l
métallique	m e t a l i k
métallurgie	m e t a l y R Z i
métamorphose	m e t a m O R f o z
métaphore	m e t a f O R
métaphorique	m e t a f O R i k
métathèse	m e t a t E z
métaux	m e t o
métayer	m e t e j e
méthane	m e t a n
méthanisation	m e t a n i z a s j O~
méthode	m e t O d
méthodologie	m e t O d O l O Z i
méthylation	m e t i l a s j O~
métier	m e t j e
métis	m e t i s
métonymie	m e t O n i m i
métrage	m e t R a Z
métrages	m e t R a Z
métro	m e t R o
métropolitain	m e t R O p O l i t E~
météorologue	m e t e O R O l O g
mêler	m e l e
mêlée	m E l e
même	m E m
mû	m y
mûr	m y R
mûre	m y R
mûrier	m y R j e
mûriers	m y R j e
n	E n
n'	n
n'a	n a
n'ai	n e
n'avait	n a v E
n'avons	n a v O~
n'empêche	n A~ p E S
n'en	n A~
n'est	n E
n'importe	n E~ p O R t
n'ont	n O~
n'y	n i
n'était	n e t E
nacelle	n a s E l
nacre	n a k R
nadir	n a d i R
nage	n a Z
nageoire	n a Z w a R
nager	n a Z e
nain	n E~
naissance	n E s A~ s
naissances	n E s A~ s
naissant	n E s A~
naissent	n E s
nana	n a n a
napolitain	n a p O l i t E~
nappe	n a p
naquit	n a k i
narcisse	n a R s i s
nasal	n a z a l
nasalisation	n a z a l i z a s j O~
natal	n a t a l
natale	n a t a l
natalité	n a t a l i t e
natation	n a t a s j O~
natif	n a t i f
nation	n a s j O~
national	n a s j O n a l
nationale	n a s j O n a l
nationalité	n a s j O n a l i t e
nationalités	n a s j O n a l i t e
naturaliste	n a t y R a l i s t
naturalistes	n a t y R a l i s t
nature	n a t y R
naturel	n a t y R E l
naturellement	n a t y R E l m A~
naufrage	n o f R a Z
naufragés	n O f R a Z e
nausée	n o z e
nautisme	n o t i s m
navajo	n a v a Z o
navet	n a v E
navette	n a v E t
navigation	n a v i g a s j O~
naviguer	n a v i g e
navire	n a v i R
nazi	n a z i
nazisme	n a z i s m
naît	n E
naître	n E t R
naïade	n a j a d
naïf	n a i f
naïve	n a i v
naïveté	n a i v t e
ne	n @
nef	n E f
neige	n E Z
neiger	n e Z e
nerf	n E R
nerfs	n E R
nerveux	n E R v 2
nervure	n E R v y R
net	n E t
nette	n E t
nettes	n E t
netteté	n E t t e
nettoyage	n E t w a j a Z
nettoyer	n E t w a j e
neuf	n 9 f
neurotoxique	n 9 R O t O k s i k
neurotransmetteur	n 9 R O t R A~ s m E t 9 R
neutre	n 2 t R
neutrino	n 2 t R i n o
neutron	n 2 t R O~
neuvième	n 9 v j E m
neveu	n @ v 2
neveux	n @ v 2
newton	n j u t O n
nez	n e
ni	n i
niche	n i S
nicher	n i S e
nickel	n i k E l
nid	n i
nie	n i
nier	n i e
nihilisme	n i i l i s m
niobium	n j O b j O m
niortais	n j O R t E
niortaise	n j O R t E z
nitrate	n i t R a t
nitrique	n i t R i k
niveau	n i v o
nivôse	n i v o z
nièce	n j E s
nièces	n j E s
noble	n O b l
nobles	n o b l
noblesse	n O b l E s
noce	n O s
noces	n O s
nocif	n O s i f
nocturne	n O k t y R n
noir	n w a R
noirceur	n w a R s 9 R
noire	n w a R
noirâtre	n w a R A t R
noise	n w a z
noisetier	n w a z t j e
noisette	n w a z E t
noix	n w a
nom	n O~
nomade	n O m a d
nombre	n O~ b R
nombreux	n O~ b R 2
nombril	n O~ b R i l
nominal	n O m i n a l
nominale	n O m i n a l
nominatif	n O m i n a t i f
nommer	n O m e
nommément	n O m e m A~
non	n O~
nonce	n O~ s
nonne	n O n
nonobstant	n O n O p s t A~
nord	n O R
normal	n O R m a l
normale	n O R m a l
normalement	n O R m a l m A~
normalisation	n O R m a l i z a s j O~
normalité	n O R m a l i t e
normand	n O R m A~
normande	n O R m A~ d
normandes	n O R m A~ d
normands	n O R m A~
norvégien	n O R v e Z j E~
nos	n o
nostalgie	n O s t a l Z i
notaire	n O t E R
notamment	n O t a m A~
notation	n o t a s j O~
note	n O t
noter	n O t e
notion	n O s j O~
notoire	n O t w a R
notoirement	n O t w a R m A~
notre	n O t R
nouer	n w e
nougat	n u g a
nounou	n u n u
nourrice	n u R i s
nourrir	n u R i R
nourrisson	n u R i s O~
nourriture	n u R i t y R
nourritures	n u R i t y R
nous	n u
nouveau	n u v o
nouveauté	n u v o t e
nouveaux	n u v o
nouvel	n u v E l
nouvelle	n u v E l
nouvelles	n u v E l
novembre	n O v A~ b R
novice	n O v i s
noyade	n w a j a d
noyau	n w a j o
noyer	n w a j e
nu	n y
nuage	n H a Z
nuages	n H a Z
nuageux	n H a Z 2
nuance	n H A~ s
nucléaire	n y k l e E R
nudité	n y d i t e
nue	n y
nui	n H i
nuire	n H i R
nuisance	n H i z A~ s
nuisible	n H i z i b l
nuit	n H i
nul	n y l
nulle	n y l
nullement	n y l m A~
numide	n y m i d
numéraire	n y m e R E R
numérisé	n y m e R i z e
numéro	n y m e R o
nuptial	n y p s j a l
nuque	n y k
nutritif	n y t R i t i f
nutritifs	n y t R i t i f
nutrition	n y t R i s j O~
nutritive	n y t R i t i v
nutritives	n y t R i t i v
nuée	n H e
nylon	n i l O~
nymphe	n E~ f
nymphes	n E~ f
nègre	n E g R
né	n e
néanmoins	n e A~ m w E~
néant	n e A~
nébuleuse	n e b y l 2 z
nécessaire	n e s e s E R
nécessairement	n e s e s E R m A~
nécessiter	n e s e s i t e
nécessité	n e s e s i t e
nécrologie	n e k R O l O Z i
nécrose	n e k R O z
née	n e
néerlandais	n e E R l A~ d E
nées	n e
néfaste	n e f a s t
négation	n e g a s j O~
négationnisme	n e g a s j O n i z m
négativement	n e g a t i v m A~
néglige	n e g l i Z
négligeant	n e g l i Z A~
négligence	n e g l i Z A~ s
négliger	n e g l i Z e
négligé	n e g l i Z e
négligée	n e g l i Z e
négoce	n e g O s
négociant	n e g O s j A~
négocier	n e g O s j e
négrier	n e g R i j e
nématode	n e m a t O d
némésis	n e m e z i s
nénuphar	n e n y f a R
néolithique	n e O l i t i k
néologisme	n e O l O Z i s m
néologismes	n e O l O Z i s m
néon	n e O~
nés	n e
névrose	n e v R o z
nôtre	n o t R
o	o
oasis	O a z i
objectif	O b Z E k t i f
objet	O b Z E
obligatoire	O b l i g a t w a R
obligatoirement	O b l i g a t w a R m A~
obligatoires	O b l i g a t w a R
oblige	O b l i Z
obliger	O b l i Z e
oblique	O b l i k
obscur	O p s k y R
obscure	O p s k y R
observateur	O p s E R v a t 9 R
observation	O p s E R v a s j O~
observer	O p s E R v e
obsession	O p s e s j O~
obsolète	O p s O l E t
obsolètes	O p s O l E t
obstacle	O p s t a k l
obstruction	O p s t R y k s j O~
obsèques	O p s E k
obtenir	O p t @ n i R
obtus	O p t y
obus	O b y
obéir	O b e i R
obéissance	O b e i s A~ s
obéissant	O b e i s A~
obésité	O b e z i t e
occasion	O k a z j O~
occasionnellement	O k a z j O n E l m A~
occasionner	O k a z j O n e
occident	O k s i d A~
occidental	O k s i d A~ t a l
occidentale	O k s i d A~ t a l
occidentales	O k s i d A~ t a l
occidentaux	O k s i d A~ t o
occitan	O k s i t A~
occlusive	O k l y z i v
occulte	o k y l t
occupant	O k y p A~
occupation	O k y p a s j O~
occuper	O k y p e
occupé	O k y p e
occurrence	O k y R A~ s
