ALES	a_" l e s
lengvas	lj_"_R E_"_R n_"_R g v a s
lengvesnis	lj E nj g vj_" E_" sj nj I s
lengvi	lj E nj g_" vj_" I_"
lengviau	lj E nj g vj_"_R a_"_R U_"_R
lenkiesi	lj E nj kj_"_F I_"_F e_"_F sj I
lenkt	lj_"_R E_"_R n_"_R k_"_R t_"_R
lenktynės	lj E nj k tj_"_R i:_"_R nj e: s
lenkuose	lj_"_F E_"_F n_"_F k U O sj E
lenkė	lj_"_F E_"_F nj_"_F kj e:
lenkė	lj_"_R E_"_R nj_"_R kj e:
lenta	lj E n t_" a_"
lenta	lj_"_R E_"_R n_"_R t a
lentas	lj E n t_" a_" s_"
lentelės	lj E nj tj_"_R {:_"_R lj e: s
lentos	lj E n t_"_R o:_"_R s_"_R
lentos	lj_"_R E_"_R n_"_R t o: s
lentynas	lj E nj tj_"_F i:_"_F n a s
lentyną	lj E nj tj_"_F i:_"_F n A:
lentą	lj_"_R E_"_R n_"_R t A:
lentų	lj E n t_"_R u:_"_R
lepinti	lj_"_R {:_"_R pj I nj tj I
liaudies	lj_"_F a_"_F U_"_F dj I e s
liaudis	lj_"_F a_"_F U_"_F dj I s
lieka	lj_"_R I_"_R e_"_R k a
liekat	lj_"_R I_"_R e_"_R k a t
lieknas	lj I e k n_" a_" s_"
lieknas	lj_"_R I_"_R e_"_R k_"_R n a s
liemenėmis	lj I e mj_"_R {:_"_R nj e: mj I s
liepos	lj_"_F I_"_F e_"_F p o: s
liepė	lj_"_R I_"_R e_"_R pj e:
liepėm	lj_"_R I_"_R e_"_R pj e: m
lietaus	lj I e t_"_R a_"_R U_"_R s_"_R
lietus	lj I e t_" U_" s_"
lietus	lj_"_F I_"_F e_"_F t U s
lietus	lj_"_R I_"_R e_"_R t U s
lietuviškai	lj I e t_" U_" vj I S k a I
lietuviškas	lj I e t_" U_" vj I S k a s
lietuvių	lj I e t_" U_" vj u:
lietvamzdžius	lj_"_F I_"_F e_"_F t_"_F v a mj Zj dZ' U s
lietų	lj I e t_"_R u:_"_R
lietų	lj_"_F I_"_F e_"_F t u:
lievai	lj I e v_"_R a_"_R I_"_R
lievai	lj_"_R I_"_R e_"_R v a I
lievas	lj_"_R I_"_R e_"_R v a s
lievi	lj_"_R I_"_R e_"_R vj I
liežuvis	lj I e Z_" U_" vj I s
liežuviu	lj I e Z U vj_" U_"
liežuvį	lj I e Z_" U_" vj i:
liga	lj I g_" a_"
liga	lj_" I_" g a
ligoninėj	lj I g_"_F o:_"_F nj I nj e: j
ligoninėje	lj I g_"_F o:_"_F nj I nj e: j E
ligonis	lj I g_"_F o:_"_F nj I s
ligonius	lj I g_"_F o:_"_F nj U s
ligos	lj I g_"_R o:_"_R s_"_R
ligos	lj_" I_" g o: s
ligų	lj I g_"_R u:_"_R
lijo	lj_" I_" j o:
liko	lj_" I_" k o:
likom	lj_" I_" k O m
liks	lj_" I_" k_" s_"
liksiu	lj_" I_" k_" sj U
likti	lj I k tj_" I_"
likti	lj_" I_" k_" tj I
likutį	lj I k_" U_" tj i:
likučio	lj I k_" U_" tS' o:
likviduot	lj I k vj I d_"_F U_"_F O_"_F t_"_F
likę	lj_" I_" kj {:
likęs	lj_" I_" kj {: s
linijos	lj_" I_" nj I j o: s
link	lj_"_R I_"_R n_"_R k_"_R
linksma	lj I n k s_" m_" a_"
linksma	lj_"_R I_"_R n_"_R k_"_R s m a
linksmiau	lj I nj k sj_"_R mj_"_R a_"_R U_"_R
linkėjimai	lj I nj kj_"_F e:_"_F j I m a I
linkėjimus	lj I nj kj_"_F e:_"_F j I m U s
linkėjimų	lj I nj kj_"_F e:_"_F j I m u:
linų	lj I n_"_R u:_"_R
lipant	lj_" I_" p a n t
lipdyt	lj I bj dj_"_F i:_"_F t_"_F
lipo	lj_" I_" p o:
lis	lj_" I_" s_"
litai	lj_" I_" t a I
literatūros	lj I tj E r a t_"_R u:_"_R r o: s
literatūrą	lj I tj E r a t_"_R u:_"_R r A:
litus	lj I t_" U_" s_"
litų	lj_" I_" t u:
liudininkas	lj_" U_" dj I nj I n k a s
liuobtis	lj_"_R U_"_R O_"_R pj_"_R tj I s
liūdna	lj u: d n_" a_"
liūdna	lj_"_R u:_"_R d_"_R n a
liūdnas	lj_"_R u:_"_R d_"_R n a s
liūdniau	lj u: dj nj_"_R a_"_R U_"_R
liūdės	lj u: dj_"_R e:_"_R s_"_R
logiškai	5_" O_" gj I S k a I
lovoj	5_"_F o:_"_F v O j
lovos	5_"_F o:_"_F v o: s
lovą	5_"_F o:_"_F v A:
loš	5_"_R o:_"_R S_"_R
lošia	5_"_R o:_"_R Sj a
lošė	5_"_R o:_"_R Sj e:
lubų	5 U b_"_R u:_"_R
lubų	5_" U_" b u:
lupt	5_" U_" p_" t_"
lydeka	lj i: dj E k_" a_"
lydekaites	lj i: dj E k_"_F a_"_F I_"_F tj E s
lydekaitės	lj i: dj E k_"_F a_"_F I_"_F tj e: s
lydekaičių	lj i: dj E k_"_F a_"_F I_"_F tS' u:
lydekaičių	lj i: dj E k_"_R a_"_R I_"_R tS' u:
lydekas	lj i: dj E k_" a_" s_"
lydekos	lj i: dj_"_R {:_"_R k o: s
lydeką	lj i: dj_"_R {:_"_R k A:
lyderis	lj_"_F i:_"_F dj E rj I s
lydytam	lj_"_F i:_"_F dj i: t a m
lydyto	lj_"_F i:_"_F dj i: t o:
lyg	lj_"_F i:_"_F k_"_F
lyg	lj_"_R i:_"_R k_"_R
lygiai	lj_"_F i:_"_F gj a I
lygina	lj_"_F i:_"_F gj I n a
lyginsi	lj_"_F i:_"_F gj I nj sj I
lygint	lj_"_F i:_"_F gj I n t
lygis	lj_"_R i:_"_R gj I s
lygius	lj i: gj_" U_" s_"
lygius	lj_"_F i:_"_F gj U s
lygiąsias	lj i: gj_"_F A:_"_F sj a s
lygu	lj_"_F i:_"_F g U
lygus	lj_"_F i:_"_F g U s
lyja	lj_"_R i:_"_R j a
lynoja	lj i: n_"_F o:_"_F j a
lynus	lj_"_F i:_"_F n U s
lyt	lj_"_F i:_"_F t_"_F
ląsteles	5 A: sj tj E lj_" E_" s_"
lėkt	lj_"_R e:_"_R k_"_R t_"_R
lėktųsi	lj_"_R e:_"_R k_"_R t u: sj I
lėkštutės	lj e: k S_" t_" U_" tj e: s
lėkštėm	lj e: k Sj_"_F tj_"_F e:_"_F m_"_F
lėkštėm	lj e: k Sj_"_R tj_"_R e:_"_R m_"_R
lėlė	lj e: lj_"_R e:_"_R
lėtai	lj e: t_"_R a_"_R I_"_R
lėtai	lj_"_R e:_"_R t a I
lūpas	5_"_F u:_"_F p a s
lūpos	5_"_F u:_"_F p o: s
lūšna	5 u: S_" n_" a_"
lūšna	5_"_F u:_"_F S n a
lūšnyno	5 u: Sj_"_F nj_"_F i:_"_F n o:
m-hm	m G_" m_"
m-m	m_" m
mada	m a d_" a_"
mada	m_"_R A:_"_R d a
madinga	m a dj_"_F I_"_F n_"_F g a
mafukas	m a f_" U_" k a s
mailiaus	m_"_R a_"_R I_"_R lj a U s
mailių	m_"_R a_"_R I_"_R lj u:
maisto	m_"_R a_"_R I_"_R s t o:
maitina	m a I tj_" I_" n a
maitinasi	m a I tj_" I_" n a sj I
maišiuką	m a I Sj_" U_" k A:
maišo	m_"_R a_"_R I_"_R S o:
maišto	m_"_R a_"_R I_"_R S t o:
maišyt	m a I Sj_"_F i:_"_F t_"_F
maišą	m_"_R a_"_R I_"_R S A:
majonezo	m a j O nj_" E_" z o:
majonezą	m a j O nj_" E_" z A:
makalojasi	m_" a_" k a 5 o: j a sj I
maketavot	m a kj E t_"_R A:_"_R v o: t
maketuotojo	m a kj E t_"_F U_"_F O_"_F t o: j o:
maksimaliai	m a k sj I m a lj_"_R a_"_R I_"_R
maksimum	m_"_R A:_"_R k_"_R sj I m U m
maksimumą	m_"_R A:_"_R k_"_R sj I m U m A:
mala	m_"_R A:_"_R 5 a
malačius	m a 5_"_R A:_"_R tS' U s
maldaknygių	m a 5 d_"_R A:_"_R k_"_R nj i: gj u:
maliau	m a lj_"_R a_"_R U_"_R
malkas	m_"_F a_"_F 5_"_F k a s
malkaut	m a 5 k_"_F a_"_F U_"_F t_"_F
malkikių	m a lj kj_" I_" kj u:
malkom	m_"_F a_"_F 5_"_F k O m
malkos	m_"_F a_"_F 5_"_F k o: s
malkų	m_"_F a_"_F 5_"_F k u:
maloniai	m a 5 o: nj_"_R a_"_R I_"_R
maloniai	m a 5_"_R o:_"_R nj a I
malonu	m a 5 o: n_" U_"
malonumas	m a 5 o: n_" U_" m a s
malonus	m a 5 o: n_" U_" s_"
malonūs	m a 5_"_R o:_"_R n u: s
mam	m_"_R a_"_R m_"_R
mama	m a m_" a_"
mama	m_"_R A:_"_R m a
mamai	m_"_R A:_"_R m a I
mamas	m a m_" a_" s_"
mamelė	m a mj_"_R {:_"_R lj e:
mamos	m a m_"_R o:_"_R s_"_R
mamos	m_"_R A:_"_R m o: s
mamukas	m a m_" U_" k a s
mamyte	m a mj i: tj_" E_"
mamyte	m a mj_"_F i:_"_F tj E
mamą	m_"_R A:_"_R m A:
mamų	m a m_"_R u:_"_R
man	m_"_F a_"_F n_"_F
manai	m a n_"_R a_"_R I_"_R
manai	m_"_R A:_"_R n a I
manau	m a n_"_R a_"_R U_"_R
mane	m a nj_" E_"
mani	m a nj_" I_"
manim	m a nj_"_R I_"_R m_"_R
manimi	m a nj I mj_" I_"
mankštindavosi	m a nj k Sj_"_F tj_"_F I_"_F n_"_F d a v o: sj I
mankštą	m_"_R a_"_R n_"_R k_"_R S t A:
mano	m_" a_" n o:
mano	m_"_R A:_"_R n o:
manymu	m_"_R A:_"_R nj i: m U
manyčiau	m a nj i: tS'_"_R a_"_R U_"_R
manyčiau	m a nj_"_F i:_"_F tS' a U
manęs	m a nj_"_R {:_"_R s_"_R
manęs	m_"_R A:_"_R nj {: s
maratoną	m a r a t_" O_" n A:
marga	m a r g_" a_"
marga	m_"_F a_"_F r_"_F g a
margas	m_"_F a_"_F r_"_F g a s
marginimą	m_"_F a_"_F rj_"_F gj I nj I m A:
markė	m_"_F a_"_F rj_"_F kj e:
marškiniais	m a rj Sj kj I nj_"_R a_"_R I_"_R s_"_R
masalą	m_"_R A:_"_R s a 5 A:
masažus	m a s a Z_" U_" s_"
masažą	m a s_"_R A:_"_R Z A:
masina	m_"_R A:_"_R sj I n a
mastau	m a s_"_R t_"_R a_"_R U_"_R
mat	m_" a_" t_"
matai	m a t_"_R a_"_R I_"_R
matai	m_"_R A:_"_R t a I
matau	m a t_"_R a_"_R U_"_R
matei	m a tj_"_R E_"_R I_"_R
matematikos	m a tj E m_"_R A:_"_R tj I k o: s
matematiką	m a tj E m_"_R A:_"_R tj I k A:
materialią	m a tj E rj I j_"_R A:_"_R lj A:
materialią	m a tj E rj_"_R A:_"_R lj A:
matmenis	m_"_R A:_"_R tj_"_R mj E nj I s
matomai	m_"_R A:_"_R t o: m a I
matos	m_"_R A:_"_R t o: s
matosi	m_"_R A:_"_R t o: sj I
matot	m_"_R A:_"_R t o: t
matuoja	m a t_"_F U_"_F O_"_F j a
matuoji	m a t_"_F U_"_F O_"_F j I
matys	m a tj_"_F i:_"_F s_"_F
matysi	m a tj_"_F i:_"_F sj I
matysim	m a tj_"_F i:_"_F sj I m
matysis	m a tj_"_F i:_"_F sj I s
matysiu	m a tj_"_F i:_"_F sj U
matyt	m a tj_"_F i:_"_F t_"_F
matytas	m a tj_"_F i:_"_F t a s
matyti	m a tj_"_F i:_"_F tj I
matytis	m a tj_"_F i:_"_F tj I s
matytųsi	m a tj_"_F i:_"_F t u: sj I
matą	m_"_R A:_"_R t A:
matė	m_"_R A:_"_R tj e:
matėm	m_"_R A:_"_R tj e: m
matėmės	m_"_R A:_"_R tj e: mj e: s
matės	m_"_R A:_"_R tj e: s
matėt	m_"_R A:_"_R tj e: t
matęs	m_"_R A:_"_R tj {: s
maudytis	m_"_F a_"_F U_"_F dj i: tj I s
maudėmės	m_"_F a_"_F U_"_F dj e: mj e: s
maumedžių	m_"_R a_"_R U_"_R mj E dZ' u:
maut	m_"_F a_"_F U_"_F t_"_F
mačiau	m a tS'_"_R a_"_R U_"_R
mačius	m_"_R A:_"_R tS' U s
mačiusi	m_"_R A:_"_R tS' U sj I
mašina	m a Sj I n_" a_"
mašina	m a Sj_" I_" n a
mašinai	m a Sj_" I_" n a I
mašinas	m a Sj I n_" a_" s_"
mašiniukas	m a Sj I nj_" U_" k a s
mašinkos	m a Sj_"_F I_"_F n_"_F k o: s
mašinoj	m a Sj_" I_" n O j
mašinom	m a Sj_" I_" n O m
mašinos	m a Sj_" I_" n o: s
mašiną	m a Sj_" I_" n A:
mašinėlės	m a Sj I nj_"_R e:_"_R lj e: s
mašinų	m a Sj_" I_" n u:
mašinų	m_"_R A:_"_R Sj I n u:
maž	m_" a_" S_"
maža	m a Z_" a_"
maža	m_"_R A:_"_R Z a
mažai	m a Z_"_R a_"_R I_"_R
mažai	m_"_R A:_"_R Z a I
mažas	m_"_R A:_"_R Z a s
maždaug	m a Z_"_R d_"_R a_"_R U_"_R k_"_R
mažens	m a Zj_"_R E_"_R n_"_R s_"_R
mažesni	m a Zj E sj_" nj_" I_"
mažesnės	m a Zj E sj_"_R nj_"_R e:_"_R s_"_R
mažesnės	m a Zj_" E_" sj nj e: s
mažesnę	m a Zj_" E_" sj nj {:
maži	m a Zj_" I_"
maži	m_" a_" Zj I
mažiau	m a Zj_"_R a_"_R U_"_R
mažiau	m_" a_" Zj a U
mažiausi	m a Zj_"_F a_"_F U_"_F sj I
mažiausiai	m a Zj_"_F a_"_F U_"_F sj a I
mažiukai	m a Zj_" U_" k a I
mažiukas	m a Zj_" U_" k a s
mažiukes	m a Zj U kj_" E_" s_"
mažiukui	m a Zj_" U_" k U i
mažiuką	m a Zj_" U_" k A:
mažiukė	m a Zj_" U_" kj e:
mažiukės	m a Zj_" U_" kj e: s
mažiukę	m a Zj_" U_" kj {:
mažmena	m a Zj mj E n_" a_"
mažmena	m_"_R A:_"_R Zj mj E n a
mažoji	m a Z_"_F o:_"_F j I
mažojo	m_"_R A:_"_R Z o: j o:
mažokai	m a Z_"_F o:_"_F k a I
mažu	m_" a_" Z U
mažutės	m a Z_" U_" tj e: s
mažylis	m a Zj_"_R i:_"_R lj I s
mažylį	m a Zj_"_R i:_"_R lj i:
mažytė	m a Zj_"_F i:_"_F tj e:
mažąja	m a Z_"_F A:_"_F j a
mechanikai	mj E x_"_R A:_"_R nj I k a I
mechatronika	mj E x a t_" r_" O_" nj I k a
mechotronika	mj E x O t_" r_" O_" nj I k a
medeliai	mj E dj_"_R {:_"_R lj a I
medelius	mj E dj E lj_" U_" s_"
medelynas	mj E dj E lj_"_F i:_"_F n a s
medelyne	mj E dj E lj_"_F i:_"_F nj E
medelyną	mj E dj E lj_"_F i:_"_F n A:
medicininę	mj E dj I ts'_" I_" nj I nj {:
medicinos	mj E dj I ts'_" I_" n o: s
mediena	mj E dj I e n_" a_"
mediena	mj E dj_"_F I_"_F e_"_F n a
medieną	mj E dj_"_F I_"_F e_"_F n A:
medines	mj E dj I nj_" E_" s_"
medines	mj E dj_" I_" nj E s
medinis	mj E dj_" I_" nj I s
medinėm	mj E dj_" I_" nj e: m
medum	mj E d_"_R U_"_R m_"_R
medę	mj_"_R {:_"_R dj {:
medžiagas	mj_"_R {:_"_R dZ' a g a s
medžiagos	mj E dZ' a g_"_R o:_"_R s_"_R
medžiagos	mj_"_R {:_"_R dZ' a g o: s
medžiagą	mj_"_R {:_"_R dZ' a g A:
medžiagų	mj E dZ' a g_"_R u:_"_R
medžiagų	mj_"_R {:_"_R dZ' a g u:
medžiai	mj_"_R {:_"_R dZ' a I
medžio	mj_"_R {:_"_R dZ' o:
medžius	mj E dZ'_" U_" s_"
medžių	mj_"_R {:_"_R dZ' u:
megztinuku	mj E k sj tj I n U k_" U_"
megztinuku	mj E k sj tj I n_" U_" k U
meistrai	mj E I s_"_R t_"_R r_"_R a_"_R I_"_R
meistras	mj_"_F E_"_F I_"_F s t r a s
meistrą	mj_"_F E_"_F I_"_F s t r A:
meluoji	mj E 5_"_F U_"_F O_"_F j I
melžt	mj_"_F E_"_F 5_"_F S_"_F t_"_F
meno	mj_"_R {:_"_R n o:
mentai	mj_"_R E_"_R n_"_R t a I
merga	mj E r g_" a_"
merga	mj_"_R E_"_R r_"_R g a
mergai	mj_"_R E_"_R r_"_R g a I
mergaite	mj E r g a I tj_" E_"
mergaite	mj E r g_"_F a_"_F I_"_F tj E
mergaite	mj E r g_"_R a_"_R I_"_R tj E
mergaitė	mj E r g_"_F a_"_F I_"_F tj e:
mergaitės	mj E r g_"_F a_"_F I_"_F tj e: s
mergaitės	mj E r g_"_R a_"_R I_"_R tj e: s
mergaitę	mj E r g_"_F a_"_F I_"_F tj {:
mergas	mj E r g_" a_" s_"
mergikės	mj E rj gj_" I_" kj e: s
merginai	mj E rj gj_" I_" n a I
merginos	mj E rj gj_" I_" n o: s
merginos	mj_"_F E_"_F rj_"_F gj I n o: s
mergiotei	mj E rj gj_"_R o:_"_R tj E I
mergiotė	mj E rj gj_"_R o:_"_R tj e:
mergom	mj E r g_"_F O_"_F m_"_F
mergom	mj E r g_"_R O_"_R m_"_R
mergos	mj E r g_"_R o:_"_R s_"_R
mergos	mj_"_R E_"_R r_"_R g o: s
mergėkis	mj_"_R E_"_R rj_"_R gj e: kj I s
mergų	mj E r g_"_R u:_"_R
mersiukų	mj E rj sj_" U_" k u:
mes	mj_" E_" s_"
mes	mj_"_R {:_"_R s_"_R
mest	mj_" E_" s_" t_"
mesti	mj E sj_" tj_" I_"
mesti	mj_" E_" sj tj I
metai	mj_"_R {:_"_R t a I
metais	mj_"_R {:_"_R t a I s
metaliniai	mj E t a lj_" I_" nj a I
metaliniai	mj E t_"_R A:_"_R lj I nj a I
metalinių	mj E t a lj_" I_" nj u:
metalinių	mj E t_"_R A:_"_R lj I nj u:
metalinės	mj E t a lj_" I_" nj e: s
metam	mj_"_R {:_"_R t a m
metams	mj_"_R {:_"_R t a m s
metano	mj E t_"_R A:_"_R n o:
metei	mj E tj_"_R E_"_R I_"_R
meti	mj E tj_" I_"
metines	mj_"_R {:_"_R tj I nj E s
metinės	mj_"_R {:_"_R tj I nj e: s
metinį	mj_"_R {:_"_R tj I nj i:
metras	mj_" E_" t r a s
metro	mj E t_" r_" O_"
metro	mj_" E_" t r o:
metru	mj E t_" r_" U_"
metrą	mj_" E_" t r A:
metrų	mj_" E_" t r u:
metu	mj E t_" U_"
metuos	mj_"_R {:_"_R t U O s
metus	mj E t_" U_" s_"
metus	mj_"_R {:_"_R t U s
metą	mj E t_"_R A:_"_R
metą	mj_"_R {:_"_R t A:
metė	mj_"_R {:_"_R tj e:
metų	mj_"_R {:_"_R t u:
mečiau	mj E tS'_"_R a_"_R U_"_R
mh	m G_"
miega	mj I e g_" a_"
miega	mj_"_F I_"_F e_"_F g a
miega	mj_"_R I_"_R e_"_R g a
miegam	mj I e g_"_F a_"_F m_"_F
miegam	mj_"_R I_"_R e_"_R g a m
miegat	mj_"_R I_"_R e_"_R g a t
miegi	mj I e gj_" I_"
miego	mj_"_R I_"_R e_"_R g o:
miegojau	mj I e g_"_F o:_"_F j a U
miegojo	mj I e g_"_F o:_"_F j o:
miegos	mj I e g_"_R o:_"_R s_"_R
miegos	mj_"_F I_"_F e_"_F g o: s
miegot	mj I e g_"_F o:_"_F t_"_F
miegoti	mj I e g_"_F o:_"_F tj I
miela	mj I e 5_" a_"
miela	mj_"_F I_"_F e_"_F 5 a
mielai	mj I e 5_"_R a_"_R I_"_R
mielai	mj_"_F I_"_F e_"_F 5 a I
mielių	mj I e lj_"_R u:_"_R
miestan	mj_"_R I_"_R e_"_R s t a n
mieste	mj I e sj_" tj_" E_"
mieste	mj_"_R I_"_R e_"_R sj tj E
miesto	mj_"_R I_"_R e_"_R s t o:
miestuke	mj I e s t U kj_" E_"
miestuose	mj_"_R I_"_R e_"_R s t U O sj E
miestą	mj_"_R I_"_R e_"_R s t A:
migraciją	mj I g_"_R r_"_R A:_"_R ts' I j A:
mikrobanginėj	mj I k r O b_"_R a_"_R nj_"_R gj I nj e: j
mikrobangė	mj I k r O b_"_R a_"_R nj_"_R gj e:
mikrobangę	mj I k r O b_"_R a_"_R nj_"_R gj {:
mikrofoną	mj I k r O f_" O_" n A:
milimetrų	mj I lj I mj_" E_" t r u:
miltai	mj_"_F I_"_F 5_"_F t a I
miltų	mj_"_F I_"_F 5_"_F t u:
milžiniškos	mj_"_R I_"_R lj_"_R Zj I nj I S k o: s
ministrą	mj I nj_" I_" s t r A:
minkštas	mj_"_F I_"_F n_"_F k_"_F S t a s
mintis	mj I nj tj_" I_" s_"
mintis	mj_"_R I_"_R nj_"_R tj I s
mintys	mj_"_R I_"_R nj_"_R tj i: s
minu	mj I n_" U_"
minus	mj_" I_" n U s
minusas	mj_" I_" n U s a s
minusą	mj_" I_" n U s A:
minutes	mj I n U tj_" E_" s_"
minutė	mj I n_" U_" tj e:
minutės	mj I n_" U_" tj e: s
minutę	mj I n_" U_" tj {:
minučių	mj I n_" U_" tS' u:
minčių	mj I nj tS'_"_R u:_"_R
minėjo	mj I nj_"_F e:_"_F j o:
mirga	mj_"_F I_"_F r_"_F g a
mirksi	mj_"_F I_"_F rj_"_F k_"_F sj I
mirksi	mj_"_R I_"_R rj_"_R k_"_R sj I
mirksėti	mj I rj k sj_"_F e:_"_F tj I
mirksėti	mj_"_F I_"_F rj_"_F k_"_F sj e: tj I
mirs	mj_"_R I_"_R r_"_R s_"_R
mirtį	mj_"_R I_"_R rj_"_R tj i:
mirusi	mj_" I_" r U sj I
mirė	mj_" I_" rj e:
mislija	mj_" I_" sj lj I j a
misliji	mj_" I_" sj lj I j I
misliju	mj_" I_" sj lj I j U
mišinio	mj_" I_" Sj I nj o:
mišinį	mj_" I_" Sj I nj i:
miškai	mj I S_"_R k_"_R a_"_R I_"_R
miškan	mj I S_"_R k_"_R a_"_R n_"_R
miške	mj I Sj kj_" E_"
miške	mj I Sj_" kj_" E_"
miške	mj_" I_" Sj kj E
miške	mj_" I_" Sj_" kj E
miško	mj_" I_" S k o:
mišku	mj I S_" k_" U_"
mišką	mj_" I_" S k A:
miškų	mj I S_"_R k_"_R u:_"_R
mišrainėm	mj I S_"_R r_"_R a_"_R I_"_R nj e: m
mišrainės	mj I S_"_R r_"_R a_"_R I_"_R nj e: s
mižukiškiai	mj I Z_" U_" kj I Sj kj a I
mmm	m_"
modelis	m_" O_" dj E lj I s
modemui	m O dj_" E_" m U i
moderni	m O dj E rj nj_" I_"
moka	m_"_F o:_"_F k a
mokais	m_"_F o:_"_F k a I s
mokaisi	m_"_F o:_"_F k a I sj I
mokama	m o: k a m_" a_"
mokama	m_"_F o:_"_F k a m a
mokamos	m_"_F o:_"_F k a m o: s
mokamą	m_"_F o:_"_F k a m A:
mokasi	m_"_F o:_"_F k a sj I
mokaus	m_"_F o:_"_F k a U s
mokausi	m_"_F o:_"_F k a U sj I
mokesčiai	m_"_F o:_"_F kj E Sj tS' a I
mokesčius	m_"_F o:_"_F kj E Sj tS' U s
mokesčių	m_"_F o:_"_F kj E Sj tS' u:
moki	m o: kj_" I_"
moki	m_"_F o:_"_F kj I
mokiausi	m_"_F o:_"_F kj a U sj I
mokinas	m o: kj_" I_" n a s
mokinasi	m o: kj_" I_" n a sj I
mokinausi	m o: kj I n_"_R a_"_R U_"_R sj I
mokini	m o: kj I nj_" I_"
mokinies	m o: kj I nj_"_F I_"_F e_"_F s_"_F
mokiniesi	m o: kj I nj_"_F I_"_F e_"_F sj I
mokinio	m_"_F o:_"_F kj I nj o:
mokinių	m o: kj I nj_"_R u:_"_R
mokinių	m o: kj_" I_" nj u:
mokintis	m o: kj_"_F I_"_F nj_"_F tj I s
mokinuosi	m o: kj I n_"_F U_"_F O_"_F sj I
moko	m_"_F o:_"_F k o:
mokos	m o: k_"_R o:_"_R s_"_R
mokos	m_"_F o:_"_F k o: s
mokosi	m_"_F o:_"_F k o: sj I
mokslai	m_"_F o:_"_F k_"_F s 5 a I
mokslai	m_"_F o:_"_F k_"_F s_"_F 5 a I
mokslais	m_"_F o:_"_F k_"_F s_"_F 5 a I s
moksleivis	m o: k sj_"_R lj_"_R E_"_R I_"_R vj I s
moksliukė	m o: k sj_" lj_" U_" kj e:
mokslo	m_"_F o:_"_F k_"_F s 5 o:
mokslų	m_"_F o:_"_F k_"_F s 5 u:
moku	m o: k_" U_"
moku	m_"_F o:_"_F k U
mokykla	m o: kj i: k_" 5_" a_"
mokykla	m o: kj_"_R i:_"_R k 5 a
mokykloj	m o: kj_"_R i:_"_R k_"_R 5 O j
mokykloje	m o: kj_"_R i:_"_R k 5 o: j E
mokyklon	m o: kj_"_R i:_"_R k_"_R 5 O n
mokyklos	m o: kj_"_R i:_"_R k_"_R 5 o: s
mokyklą	m o: kj_"_R i:_"_R k_"_R 5 A:
mokyklėlę	m o: kj i: k_"_R lj_"_R e:_"_R lj {:
mokymai	m_"_F o:_"_F kj i: m a I
mokymus	m_"_F o:_"_F kj i: m U s
mokysies	m_"_F o:_"_F kj i: sj I e s
mokyt	m_"_F o:_"_F kj i: t
mokytis	m_"_F o:_"_F kj i: tj I s
mokytoja	m_"_F o:_"_F kj i: t o: j a
mokytojaut	m o: kj i: t o: j_"_F a_"_F U_"_F t_"_F
mokytojos	m_"_F o:_"_F kj i: t o: j o: s
mokytoją	m_"_F o:_"_F kj i: t o: j A:
mokytos	m_"_F o:_"_F kj i: t o: s
mokė	m_"_F o:_"_F kj e:
mokėjai	m o: kj_"_F e:_"_F j a I
mokėjau	m o: kj_"_F e:_"_F j a U
mokėjot	m o: kj_"_F e:_"_F j o: t
mokėsi	m_"_F o:_"_F kj e: sj I
mokėsiu	m o: kj_"_F e:_"_F sj U
mokėt	m o: kj_"_F e:_"_F t_"_F
mokėtų	m o: kj_"_F e:_"_F t u:
molin	m_"_F o:_"_F lj I n
moliūgas	m o: lj_"_R u:_"_R g a s
molžemį	m_"_F O_"_F lj_"_F Zj E mj i:
momento	m O mj_"_R E_"_R n_"_R t o:
momento	m_" O_" mj E n t o:
morkom	m_"_R O_"_R r_"_R k O m
morkos	m_"_R O_"_R r_"_R k o: s
morkų	m_"_R O_"_R r_"_R k u:
moteriai	m_"_F o:_"_F tj E rj a I
moteris	m_"_F o:_"_F tj E rj I s
moteriška	m_"_F o:_"_F tj E rj I S k a
moteriškais	m_"_F o:_"_F tj E rj I S k a I s
moteriškas	m_"_F o:_"_F tj E rj I S k a s
moteriški	m_"_F o:_"_F tj E rj I Sj kj I
moteriškių	m o: tj E rj_" I_" Sj kj u:
moteriškė	m o: tj E rj_" I_" Sj kj e:
moteriškėm	m o: tj E rj_" I_" Sj kj e: m
moterį	m_"_F o:_"_F tj E rj i:
motina	m_"_F o:_"_F tj I n a
motinine	m o: tj I nj I nj_" E_"
motinine	m o: tj I nj_" I_" nj E
motinos	m_"_F o:_"_F tj I n o: s
motorolerį	m O t O r_" O_" lj E rj i:
močiute	m o: tS' U tj_" E_"
močiute	m o: tS'_" U_" tj E
močiutei	m o: tS'_" U_" tj E I
močiutė	m o: tS'_" U_" tj e:
močiutės	m o: tS'_" U_" tj e: s
močiutę	m o: tS'_" U_" tj {:
mudu	m_" U_" d U
mudvi	m_" U_" dj vj I
mugė	m_" U_" gj e:
mugėj	m_" U_" gj e: j
mugę	m_" U_" gj {:
multiko	m_"_R U_"_R lj_"_R tj I k o:
multikų	m_"_F U_"_F lj_"_F tj I k u:
multiplikacinis	m U lj tj I pj lj I k_"_R A:_"_R ts' I nj I s
mumis	m U mj_" I_" s_"
mums	m_"_F U_"_F m_"_F s_"_F
